Ticker,Company,Sector,Current Price,Intrinsic Value,Margin of Safety,MoS %,MoS Band,Piotroski F-Score,Altman Z-Score,WACC,ROIC,EV/FCF Yield,Normalized EPS,EPV Value,Multiple Value,DCF Value,Interest Coverage,Debt/Equity,Years of Data
BLDR,"Builders FirstSource, Inc.",Industrials,69.30000305175781,134.8788511061504,0.48620556533938497,48.6%,Strong (30-50%),4,2.08,8.7%,6.7%,15.0%,13.48788511061504,149.86539011794488,134.8788511061504,N/A,2.9x,1.17,4
APA,APA Corporation,Energy,36.41999816894531,52.220294332597355,0.3025700326968295,30.3%,Strong (30-50%),7,1.64,6.0%,21.4%,8.6%,6.151154563860905,68.34616182067673,52.220294332597355,N/A,9.9x,0.75,4
FOX,Fox Corporation,Communication Services,52.29999923706055,70.40905204904338,0.2571977932520521,25.7%,Moderate (20-30%),8,2.93,6.6%,18.1%,7.8%,7.040905204904338,78.23228005449265,70.40905204904338,N/A,8.0x,0.62,4
FOXA,Fox Corporation,Communication Services,58.52000045776367,77.80445103523009,0.24785793512937143,24.8%,Moderate (20-30%),8,3.08,6.7%,18.1%,7.0%,7.780445103523008,86.44939003914453,77.80445103523009,N/A,8.0x,0.62,4
CMCSA,Comcast Corporation,Communication Services,24.635900497436523,31.763490012220014,0.22439566659839244,22.4%,Moderate (20-30%),8,1.33,5.6%,8.8%,8.1%,4.022669356031396,44.696326178126625,31.763490012220014,161.6123273850433,4.7x,1.02,4
DHI,"D.R. Horton, Inc.",Consumer Cyclical,149.125,169.33065948535727,0.11932664496062238,11.9%,Slight (10-20%),4,6.02,10.5%,12.8%,5.5%,16.933065948535727,188.14517720595254,169.33065948535727,N/A,N/A,0.25,4
HPQ,HP Inc.,Technology,28.21500015258789,31.98116385718106,0.11776193391246807,11.8%,Slight (10-20%),5,1.71,8.7%,41.8%,9.6%,3.198116385718106,35.534626507978956,31.98116385718106,62.1446454388385,6.5x,N/A,4
APTV,Aptiv PLC,Consumer Cyclical,58.25,64.7857757201408,0.10088288127279368,10.1%,Slight (10-20%),8,2.25,8.3%,10.3%,6.1%,6.47857757201408,71.9841952446009,64.7857757201408,N/A,5.6x,0.88,4
CHTR,"Charter Communications, Inc.",Communication Services,144.3699951171875,154.9331369710557,0.0681787128330176,6.8%,Minimal (0-10%),7,0.62,5.0%,9.3%,3.5%,41.25254410949553,458.36160121661703,154.9331369710557,1775.2070943946396,2.6x,6.05,4
BF-B,Brown-Forman Corporation,Consumer Defensive,29.59000015258789,29.194160316648386,-0.013558870392095896,-1.4%,Overvalued,7,4.39,5.9%,14.6%,3.5%,2.9194160316648388,32.4379559073871,29.194160316648386,N/A,11.2x,0.62,4
